==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 293501
  Task Name   : large-2023
  Dataset     : Datasets/cdcl_dimacs/large/cnfs/2023
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Timeout     : 5000s
  Nodes       : 12  (32 cpus/node)
  Total Files : 296
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 93 396245861b331d45e1345bd43fe352e2-asconhash... 158719  373656 TIMEOUT     SAT      5000.0s       560.0s    N/A
 94 558113ad4d50130351db8c426230a50f-asconhash... 158758  373505 TIMEOUT   UNSAT      5000.0s       594.3s    N/A
 95 036b541db9d0839b0591d408ff4f77ae-aes_decry... 279120 1607567 TIMEOUT   UNSAT      5000.0s      3196.1s    N/A
 96 0a4ed112f2cdc0a524976a15d1821097-cliquecol...    270    6663 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 97 751afd7ddf8f242ed7bd93517ba82149-mchess20-...  39805    1585 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 98 00b46ace235e3915a439c77a231a5657-TableSymM...   7182   70140 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
 99 b2145c28dbed385329ea73a06d9c519a-LZMAFile_...    462    6403 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
100 428da12ab8f5f68ae261e6468c2fef73-TableSymM...  10440  115644 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
101 2c9dc96b7a8b0410e64dd33f7e00a0c1-30_2.cnf       4928   16512 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
102 d1f4348ad66cae01386777daae51c024-eqspctbk1...   4699   14014 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
103 34e5fd58b65bf305cc773f0dbfb47917-intervals...   2572   55768 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
104 91b88d172a08e2a57c189bddff51bfd5-22_1.cnf       3648   12160 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
105 a98d77ba9d3fbe8b7c55cbf75b2b43a8-TableMode...   4680   39564 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
106 cbd0933002d6c4ea99ceb47bb0c3f4c9-em_11_3_4...   8713   99699 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
107 828e1066a477e98e8d834528df3fc874-or_randxo...   1120    7559 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
108 63159b6b10c3d6832bd5944e05d78b11-SCPC-700-...    700   27256 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
109 15c53f73c62a78c24bf5974e4a7afcd8-18_1.cnf       3008    9984 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
110 8bcd3f3e269fa3c9516667b626d61602-TableSymM...  12432  165008 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
111 a18b6fbdfee43c007e07dedf15477797-SCPC-700-...    700   27447 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
