/opt/gridview/slurm/spool/slurmd/job289967/slurm_script: line 16: module: command not found
==========================================================================================
  SAT Solver Benchmark: CDCLSolver vs MiniSat (Parallel)
==========================================================================================
  CDCL Solver : Checkers/cdcl_solver
  MiniSat     : Baseline/minisat/build/release/bin/minisat
  Dataset     : Datasets/cdcl_dimacs/large/cnfs (356 files)
  Timeout     : 300s
  Workers     : 32
==========================================================================================

[INFO] Submitting 356 instances ...
  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
 92 303ba61141150f84b0d8b44839df59fd-REGRandom...   4608  474496 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 90 2ef023ae6c46e4415734f9349a36d678-velev-pip...  24415  711050 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 83 2a144840047376cee3b7b99455158976-goldberg0...  12998   77941 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 85 2b3de92685792ae19e4549b5c4571e27-crafted_n...  56064 15834160 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 99 34e5fd58b65bf305cc773f0dbfb47917-intervals...   2572   55768 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 93 30e680ded3b9be6be0b5baac273f2646-asconhash... 126959  297004 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 94 323223c497a22051f5a3ef508ccbaa7c-SC23_Time... 248425  807150 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 98 3498eea73b78ddc444cbee48b121c541-grs-64-16... 448832 1292158 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
 96 33bcf82677b7fdacf18dd48892596a1d-Timetable... 378430 2649518 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
[INFO] Completed 100/356
 97 33cfa309d10e1d4fe30f1302807f42ce-SC23_Time... 248675  804920 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
102 361290e60ab2a8ea9dccfcff65bf0778-satcoin-g... 141429  646176 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
101 35b19a3332597c1e5a3668f75ca72971-SC23_Time... 248899  807483 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
129 44b249f51321a2bf38f730534b781bec-c880_gr_r...   4592   61745     SAT     SAT      264.7ms      406.0ms     OK
124 431bfb466be51ecd86b321b5cbce6d3c-mrpp_8x8#...   8918   72538   UNSAT   UNSAT       2.267s      842.7ms     OK
103 3663000b31a5c80922afc6e48322accb-6s165.cnf      3098    8995 TIMEOUT TIMEOUT       300.0s       300.0s    N/A
