==========================================================================================
  SAT Solver Benchmark: Merged Results
==========================================================================================
  Job ID      : 290866
  Total Files : 356
==========================================================================================

  # File                                            Vars     Cls    CDCL MiniSat    Time CDCL      Time MS  Match
-----------------------------------------------------------------------------------------------------------------
110 9e18c079efdc17ceade5c7a330b507d2-SC23_Time... 250016  815871 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
111 5f6861053fb4ed4fc0b997cd6b505ef4-tseitin_d... 165000  440000 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
112 dbe18c99e95ac42816b99b96d36a8732-grs-32-25... 839258 2383464 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
113 211938776d92f11870a687abd11d55a4-iso-icl00...   1001    9897   UNSAT   UNSAT      10.483s       1.656s     OK
114 d1a62a8688c6c4fabd0dec3770ce40dd-qwh.40.56...   3100   26345     SAT     SAT       101.8s        74.0s     OK
115 0c9da400944b002f90fd385d4fdab385-DivS_568_...    568  553495     SAT     SAT      3550.0s       397.8s     OK
116 92d6795785d35d1dcc42b15dc0e933d0-grid-pbl-...  22650   44852 TIMEOUT   UNSAT      5000.0s      345.3ms    N/A
117 28f29fe949422ec88892e18073de065c-5col100_1...    300    4059 TIMEOUT   UNSAT      5000.0s      51.612s    N/A
118 0336f81b60baac5b8f481dd3c32861a5-mod4block...    479  123509 TIMEOUT     SAT      5000.0s      1198.0s    N/A
119 a8dcaf436bda091dad9ca1ff58de7287-asconhash... 158783  373544 TIMEOUT   UNSAT      5000.0s      1675.4s    N/A
120 9f3ef12b5b68f92eb9265721ea73bb03-asconhash... 158682  373210 TIMEOUT     SAT      5000.0s      1826.1s    N/A
121 4408f30395fb799e01b34b0dc7ee1d62-cliquecol...    329    9018 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
122 524848d379582b63060ed43d3729b9f3-satcoin-g... 134781  648806 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
123 71270454196ae092b28d0a74300a85e1-Schur_161...    755   27517 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
124 fd2af7622798171f23a4b8d2616df55e-StreamRea...    299    3182 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
125 38ca761a5808eace8bc8f1fcfdb5b5a8-multiplie...   5052   15038 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
126 c1b5c3d1016de7baeb0ddb3a2ab2d891-SCPC-900-...    900   41618 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
127 7d58f2f0c79cbcad0496ced184ba0680-TableSymM...   4680   39582 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
128 1932e1e8f0c78372759909e45a19ecc7-brent_69_...  81990  332066 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
129 dd169198070f9aa35015de65e8209a05-LZMAFile_...    192    1252 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
130 62c763bdf8d351b15df3a4d62a03eba0-g2-ak128a... 260359  845072 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
131 323223c497a22051f5a3ef508ccbaa7c-SC23_Time... 248425  807150 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
132 f0895a5904fb97278b7b54733ee1dabb-brent_63_...  74982  313001 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
133 8b797110ff321ee673eab1542069f192-ContextMo...  45920  312590 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
134 b5b1803491a265b02d595c1fb62d5991-intervals...   2329   55649 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
135 44092fcc83a5cba81419e82cfd18602c-php-010-0...     90     415   UNSAT   UNSAT       895.7s      13.964s     OK
136 fdfcd52a21824b7181d66672f283ba04-instance_...   7278   63935     SAT     SAT      1381.8s       2.490s     OK
137 396245861b331d45e1345bd43fe352e2-asconhash... 158719  373656 TIMEOUT     SAT      5000.0s       194.3s    N/A
138 93a87994c03a7752f85d863239555d48-PRP_30_35... 163418  975278 TIMEOUT     SAT      5000.0s       400.9s    N/A
139 b5cede38496a803dcfa155a5f4295c47-SC23_Time... 248438  808956 TIMEOUT     SAT      5000.0s       910.6s    N/A
140 036b541db9d0839b0591d408ff4f77ae-aes_decry... 279120 1607567 TIMEOUT   UNSAT      5000.0s       984.3s    N/A
141 63159b6b10c3d6832bd5944e05d78b11-SCPC-700-...    700   27256 TIMEOUT TIMEOUT      5000.0s      5000.0s    N/A
